,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
0,CLEVR_000000.jsonl,CLEVR_000000.png,CLEVR_000000.png,Some rubber spheres are large.,1,"[0.43148189783096313, 0.19823718070983887, 0.370280921459198]",direct implicature
1,CLEVR_000001.jsonl,CLEVR_000005.png,CLEVR_000003.png,Some small spheres are cyan.,0,"[0.20487219095230103, 0.008103461936116219, 0.7870243191719055]",direct implicature
2,CLEVR_000002.jsonl,CLEVR_000008.png,CLEVR_000006.png,Some objects are purple.,0,"[0.002519944915547967, 0.0026334000285714865, 0.9948467016220093]",direct implicature
3,CLEVR_000003.jsonl,CLEVR_000011.png,CLEVR_000009.png,Some brown rubber cubes are large.,0,"[0.36383354663848877, 0.0029588001780211926, 0.6332076191902161]",direct implicature
4,CLEVR_000004.jsonl,CLEVR_000013.png,CLEVR_000012.png,Some small rubber objects are green.,0,"[0.017046377062797546, 0.7778949737548828, 0.20505858957767487]",direct implicature
5,CLEVR_000005.jsonl,CLEVR_000016.png,CLEVR_000015.png,Some objects are small.,0,"[0.29383254051208496, 0.4390225410461426, 0.26714491844177246]",direct implicature
6,CLEVR_000006.jsonl,CLEVR_000020.png,CLEVR_000018.png,Some objects are sphere.,0,"[0.41943246126174927, 0.02344854176044464, 0.5571190118789673]",direct implicature
7,CLEVR_000007.jsonl,CLEVR_000023.png,CLEVR_000021.png,Some large gray rubber objects are cylinder.,0,"[0.08275290578603745, 0.06925100088119507, 0.8479961156845093]",direct implicature
8,CLEVR_000008.jsonl,CLEVR_000026.png,CLEVR_000024.png,Some objects are cylinder.,0,"[0.09016912430524826, 0.01545135397464037, 0.8943794965744019]",direct implicature
9,CLEVR_000009.jsonl,CLEVR_000027.png,CLEVR_000027.png,Some blue objects are rubber.,1,"[0.9420803785324097, 0.021427595987915993, 0.03649193048477173]",direct implicature
10,CLEVR_000010.jsonl,CLEVR_000030.png,CLEVR_000030.png,Some cubes are large.,1,"[0.49015140533447266, 0.45050084590911865, 0.059347786009311676]",direct implicature
