,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
0,CLEVR_000000.jsonl,CLEVR_000002.png,CLEVR_000000.png,No yellow spheres are on the left of some purple cylinders,0,"[0.22282078862190247, 0.06228027492761612, 0.714898943901062]",embedded implicature
1,CLEVR_000001.jsonl,CLEVR_000005.png,CLEVR_000003.png,No yellow spheres are behind some purple cylinders,0,"[0.29958483576774597, 0.17240336537361145, 0.5280117988586426]",embedded implicature
2,CLEVR_000002.jsonl,CLEVR_000007.png,CLEVR_000006.png,No metal cylinders are in front of some metal cubes,0,"[0.18195053935050964, 0.45008546113967896, 0.3679640293121338]",embedded implicature
3,CLEVR_000003.jsonl,CLEVR_000010.png,CLEVR_000009.png,No gray spheres are on the left of some gray cylinders,0,"[0.14759354293346405, 0.6105400919914246, 0.2418663501739502]",embedded implicature
4,CLEVR_000004.jsonl,CLEVR_000013.png,CLEVR_000012.png,No gray spheres are on the left of some gray cylinders,0,"[0.07531478255987167, 0.8288075923919678, 0.09587760269641876]",embedded implicature
5,CLEVR_000005.jsonl,CLEVR_000016.png,CLEVR_000015.png,No metal cylinders are on the left of some metal cubes,0,"[0.34306600689888, 0.42339572310447693, 0.23353829979896545]",embedded implicature
6,CLEVR_000006.jsonl,CLEVR_000020.png,CLEVR_000018.png,No large purple metal spheres are on the left of some small gray metal cubes,0,"[0.18179288506507874, 0.17226651310920715, 0.6459405422210693]",embedded implicature
7,CLEVR_000007.jsonl,CLEVR_000022.png,CLEVR_000021.png,No large blue metal cubes are behind some large brown metal cylinders,0,"[0.0029949345625936985, 0.8444553017616272, 0.15254980325698853]",embedded implicature
8,CLEVR_000008.jsonl,CLEVR_000024.png,CLEVR_000024.png,No large metal cubes are behind some small rubber cylinders,1,"[0.5796269178390503, 0.2660907506942749, 0.15428228676319122]",embedded implicature
9,CLEVR_000009.jsonl,CLEVR_000028.png,CLEVR_000027.png,No large purple metal cylinders are on the right of some small gray metal spheres,0,"[0.07358143478631973, 0.4817185401916504, 0.44470009207725525]",embedded implicature
10,CLEVR_000010.jsonl,CLEVR_000032.png,CLEVR_000030.png,No large gray spheres are behind some large gray cylinders,0,"[0.20807790756225586, 0.18724843859672546, 0.6046736240386963]",embedded implicature
11,CLEVR_000011.jsonl,CLEVR_000034.png,CLEVR_000033.png,No metal cubes are on the right of some metal cylinders,0,"[0.3054334223270416, 0.6720576882362366, 0.022508826106786728]",embedded implicature
12,CLEVR_000012.jsonl,CLEVR_000037.png,CLEVR_000036.png,No large brown rubber spheres are on the right of some small cyan metal cylinders,0,"[0.258590430021286, 0.5381177067756653, 0.2032918930053711]",embedded implicature
13,CLEVR_000013.jsonl,CLEVR_000041.png,CLEVR_000039.png,No large blue metal cubes are on the right of some large brown metal cylinders,0,"[0.40775978565216064, 0.06913347542285919, 0.5231067538261414]",embedded implicature
14,CLEVR_000014.jsonl,CLEVR_000044.png,CLEVR_000042.png,No small cyan metal cubes are behind some large green metal cylinders,0,"[0.0004224857548251748, 0.3099554777145386, 0.6896220445632935]",embedded implicature
15,CLEVR_000015.jsonl,CLEVR_000045.png,CLEVR_000045.png,No large brown rubber spheres are in front of some small cyan metal cylinders,1,"[0.48546841740608215, 0.05241158977150917, 0.4621199667453766]",embedded implicature
16,CLEVR_000016.jsonl,CLEVR_000048.png,CLEVR_000048.png,No large metal cubes are behind some small rubber cylinders,1,"[0.49351784586906433, 0.4051785171031952, 0.10130360722541809]",embedded implicature
17,CLEVR_000017.jsonl,CLEVR_000053.png,CLEVR_000051.png,No small brown spheres are behind some large purple cylinders,0,"[0.3981688618659973, 0.12756958603858948, 0.4742615818977356]",embedded implicature
18,CLEVR_000018.jsonl,CLEVR_000056.png,CLEVR_000054.png,No large blue metal cubes are in front of some large brown metal cylinders,0,"[0.004263611044734716, 0.11452537029981613, 0.88121098279953]",embedded implicature
19,CLEVR_000019.jsonl,CLEVR_000058.png,CLEVR_000057.png,No large metal cubes are on the right of some small rubber cylinders,0,"[0.4534843862056732, 0.49301472306251526, 0.05350090563297272]",embedded implicature
20,CLEVR_000020.jsonl,CLEVR_000062.png,CLEVR_000060.png,No large gray spheres are on the right of some large gray cylinders,0,"[0.015711011365056038, 0.028394268825650215, 0.9558947086334229]",contextual cancellation
21,CLEVR_000021.jsonl,CLEVR_000064.png,CLEVR_000063.png,No yellow spheres are in front of some purple cylinders,0,"[0.014081391505897045, 0.6164019703865051, 0.36951667070388794]",contextual cancellation
22,CLEVR_000022.jsonl,CLEVR_000066.png,CLEVR_000066.png,No small brown spheres are in front of some large purple cylinders,1,"[0.4889565408229828, 0.4091264605522156, 0.10191695392131805]",contextual cancellation
23,CLEVR_000023.jsonl,CLEVR_000070.png,CLEVR_000069.png,No large brown rubber spheres are on the right of some small cyan metal cylinders,0,"[0.026846252381801605, 0.8431862592697144, 0.12996748089790344]",contextual cancellation
24,CLEVR_000024.jsonl,CLEVR_000072.png,CLEVR_000072.png,No large purple metal cylinders are on the left of some small gray metal spheres,1,"[0.457620233297348, 0.1905873864889145, 0.3517923653125763]",contextual cancellation
25,CLEVR_000025.jsonl,CLEVR_000077.png,CLEVR_000075.png,No small yellow metal cubes are behind some large gray rubber cylinders,0,"[0.13889600336551666, 0.05640837550163269, 0.8046956658363342]",contextual cancellation
26,CLEVR_000026.jsonl,CLEVR_000080.png,CLEVR_000078.png,No large rubber cubes are in front of some large metal cylinders,0,"[0.06259854882955551, 0.3220473825931549, 0.615354061126709]",contextual cancellation
27,CLEVR_000027.jsonl,CLEVR_000082.png,CLEVR_000081.png,No gray spheres are in front of some gray cylinders,0,"[0.06101512536406517, 0.5873604416847229, 0.351624459028244]",contextual cancellation
28,CLEVR_000028.jsonl,CLEVR_000085.png,CLEVR_000084.png,No yellow rubber cylinders are in front of some green metal spheres,0,"[0.042764898389577866, 0.7692232728004456, 0.18801182508468628]",contextual cancellation
29,CLEVR_000029.jsonl,CLEVR_000089.png,CLEVR_000087.png,No large purple metal spheres are on the left of some small gray metal cubes,0,"[0.012563921511173248, 0.056777473539114, 0.9306586384773254]",contextual cancellation
30,CLEVR_000030.jsonl,CLEVR_000091.png,CLEVR_000090.png,No small purple metal cubes are in front of some small yellow metal spheres,0,"[0.006030859425663948, 0.9518987536430359, 0.042070332914590836]",contextual cancellation
31,CLEVR_000031.jsonl,CLEVR_000095.png,CLEVR_000093.png,No large blue metal cubes are on the left of some large brown metal cylinders,0,"[0.0016765081090852618, 0.020279917865991592, 0.9780436754226685]",contextual cancellation
32,CLEVR_000032.jsonl,CLEVR_000097.png,CLEVR_000096.png,No gray spheres are on the right of some gray cylinders,0,"[0.09028647840023041, 0.5124715566635132, 0.3972419202327728]",contextual cancellation
33,CLEVR_000033.jsonl,CLEVR_000101.png,CLEVR_000099.png,No small brown spheres are on the right of some large purple cylinders,0,"[0.0782342404127121, 0.17737753689289093, 0.7443882822990417]",contextual cancellation
34,CLEVR_000034.jsonl,CLEVR_000102.png,CLEVR_000102.png,No large metal cubes are on the left of some small rubber cylinders,1,"[0.519478976726532, 0.4065726101398468, 0.07394838333129883]",contextual cancellation
35,CLEVR_000035.jsonl,CLEVR_000107.png,CLEVR_000105.png,No large gray spheres are behind some large gray cylinders,0,"[0.009929432533681393, 0.24478940665721893, 0.7452812194824219]",contextual cancellation
36,CLEVR_000036.jsonl,CLEVR_000109.png,CLEVR_000108.png,No yellow rubber cylinders are behind some green metal spheres,0,"[0.05862601846456528, 0.7571436762809753, 0.18423031270503998]",contextual cancellation
37,CLEVR_000037.jsonl,CLEVR_000111.png,CLEVR_000111.png,No large metal cubes are in front of some small rubber cylinders,1,"[0.7831491827964783, 0.06847063452005386, 0.14838016033172607]",contextual cancellation
38,CLEVR_000038.jsonl,CLEVR_000115.png,CLEVR_000114.png,No large metal cubes are behind some small rubber cylinders,0,"[0.007897774688899517, 0.9590170979499817, 0.03308512642979622]",contextual cancellation
39,CLEVR_000039.jsonl,CLEVR_000119.png,CLEVR_000117.png,No small yellow metal cubes are on the left of some large gray rubber cylinders,0,"[0.014911487698554993, 0.1467331498861313, 0.8383553624153137]",contextual cancellation
