,json_name,pred_answer,pred_correct_flag,pred_probs,implicature_type
0,000.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/001.png,0,"[0.13997367024421692, 0.7354007363319397, 0.12462558597326279]",direct implicature
1,001.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/004.png,0,"[0.0533716045320034, 0.7803640961647034, 0.16626432538032532]",direct implicature
2,002.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/008.png,0,"[0.09220737963914871, 0.06891144812107086, 0.8388810753822327]",direct implicature
3,003.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/009.png,0,"[0.8713104128837585, 0.013082912191748619, 0.1156066432595253]",direct implicature
4,004.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/013.png,0,"[0.21318867802619934, 0.7662867903709412, 0.02052454464137554]",direct implicature
5,005.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/016.png,0,"[0.013999400660395622, 0.9835429191589355, 0.0024576473515480757]",direct implicature
6,006.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/018.png,0,"[0.8713823556900024, 0.1170734390616417, 0.011544249020516872]",direct implicature
7,007.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/023.png,0,"[0.20527826249599457, 0.015687357634305954, 0.7790343165397644]",direct implicature
8,008.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/025.png,0,"[0.0010659415274858475, 0.9955345392227173, 0.0033994975965470076]",direct implicature
9,009.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/027.png,0,"[0.9150651097297668, 0.08362118899822235, 0.0013136679772287607]",direct implicature
10,010.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/030.png,0,"[0.5283035039901733, 0.4715465307235718, 0.00014993349032010883]",direct implicature
11,011.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/033.png,0,"[0.462789922952652, 0.28381553292274475, 0.25339457392692566]",direct implicature
12,012.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/038.png,0,"[0.11206675320863724, 0.037297964096069336, 0.850635290145874]",direct implicature
13,013.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/039.png,0,"[0.8976529240608215, 0.10190688073635101, 0.00044009205885231495]",direct implicature
14,014.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/042.png,0,"[0.9849191904067993, 0.00024400564143434167, 0.014836830087006092]",direct implicature
15,015.jsonl,/mnt/workspace/workgroup2/jianyu/MM-IR.github.io/human_phrasecut_intrinsic/images/045.png,0,"[0.7115678191184998, 0.16218377649784088, 0.12624838948249817]",direct implicature
