,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
0,CLEVR_000000.jsonl,CLEVR_000001.png,CLEVR_000000.png,Some novel large gray spheres are in front of some large gray cylinders,0,"[0.4633082151412964, 0.5353454947471619, 0.0013462594943121076]",embedded implicature
1,CLEVR_000001.jsonl,CLEVR_000003.png,CLEVR_000003.png,Some novel metal cubes are on the left of some metal cylinders,1,"[0.7339090704917908, 0.12283860892057419, 0.14325231313705444]",embedded implicature
2,CLEVR_000002.jsonl,CLEVR_000008.png,CLEVR_000006.png,Some novel large metal cubes are behind some small rubber cylinders,0,"[0.021254705265164375, 0.41920867562294006, 0.5595365762710571]",embedded implicature
3,CLEVR_000003.jsonl,CLEVR_000010.png,CLEVR_000009.png,Some novel small brown spheres are on the right of some large purple cylinders,0,"[0.14090247452259064, 0.7119758725166321, 0.14712166786193848]",embedded implicature
4,CLEVR_000004.jsonl,CLEVR_000012.png,CLEVR_000012.png,Some novel gray spheres are behind some gray cylinders,1,"[0.5266808867454529, 0.4706158936023712, 0.002703145844861865]",embedded implicature
5,CLEVR_000005.jsonl,CLEVR_000016.png,CLEVR_000015.png,Some novel large metal cubes are behind some small rubber cylinders,0,"[0.04306516423821449, 0.5617690682411194, 0.39516574144363403]",embedded implicature
6,CLEVR_000006.jsonl,CLEVR_000020.png,CLEVR_000018.png,Some novel large gray spheres are on the left of some large gray cylinders,0,"[0.3206799626350403, 0.26070350408554077, 0.4186166226863861]",embedded implicature
7,CLEVR_000007.jsonl,CLEVR_000021.png,CLEVR_000021.png,Some novel large brown rubber spheres are on the right of some small cyan metal cylinders,1,"[0.8787776231765747, 0.08368301391601562, 0.037539321929216385]",embedded implicature
8,CLEVR_000008.jsonl,CLEVR_000025.png,CLEVR_000024.png,Some novel large purple metal spheres are on the right of some small gray metal cubes,0,"[0.3398778438568115, 0.35943469405174255, 0.3006874918937683]",embedded implicature
9,CLEVR_000009.jsonl,CLEVR_000028.png,CLEVR_000027.png,Some novel large purple metal spheres are behind some small gray metal cubes,0,"[0.3533531427383423, 0.3675146698951721, 0.2791321575641632]",embedded implicature
10,CLEVR_000010.jsonl,CLEVR_000031.png,CLEVR_000030.png,Some novel small gray metal cubes are on the left of some large brown rubber spheres,0,"[0.18354977667331696, 0.7432342171669006, 0.07321605831384659]",embedded implicature
11,CLEVR_000011.jsonl,CLEVR_000034.png,CLEVR_000033.png,Some novel small gray metal cubes are on the right of some large brown rubber spheres,0,"[0.08200639486312866, 0.9113925099372864, 0.0066010314039886]",embedded implicature
12,CLEVR_000012.jsonl,CLEVR_000037.png,CLEVR_000036.png,Some novel large rubber cubes are on the right of some large metal cylinders,0,"[0.31252020597457886, 0.6815049648284912, 0.0059748427011072636]",embedded implicature
13,CLEVR_000013.jsonl,CLEVR_000039.png,CLEVR_000039.png,Some novel large metal cubes are on the left of some small rubber cylinders,1,"[0.47857460379600525, 0.22107496857643127, 0.3003504276275635]",embedded implicature
14,CLEVR_000014.jsonl,CLEVR_000042.png,CLEVR_000042.png,Some novel large brown rubber spheres are on the right of some small cyan metal cylinders,1,"[0.909759521484375, 0.08663332462310791, 0.003607068443670869]",embedded implicature
15,CLEVR_000015.jsonl,CLEVR_000045.png,CLEVR_000045.png,Some novel large purple metal cylinders are behind some small gray metal spheres,1,"[0.5739150047302246, 0.4249432682991028, 0.0011416932102292776]",embedded implicature
16,CLEVR_000016.jsonl,CLEVR_000050.png,CLEVR_000048.png,Some novel large metal cubes are on the right of some small rubber cylinders,0,"[0.04472116380929947, 0.10514552146196365, 0.8501332998275757]",embedded implicature
17,CLEVR_000017.jsonl,CLEVR_000052.png,CLEVR_000051.png,Some novel yellow spheres are in front of some purple cylinders,0,"[0.46531641483306885, 0.5270825624465942, 0.007601005956530571]",embedded implicature
18,CLEVR_000018.jsonl,CLEVR_000054.png,CLEVR_000054.png,Some novel small gray metal cubes are behind some large brown rubber spheres,1,"[0.581149697303772, 0.3512951135635376, 0.06755518913269043]",embedded implicature
19,CLEVR_000019.jsonl,CLEVR_000058.png,CLEVR_000057.png,Some novel gray spheres are in front of some gray cylinders,0,"[0.24532081186771393, 0.5481570959091187, 0.206522136926651]",embedded implicature
20,CLEVR_000020.jsonl,CLEVR_000060.png,CLEVR_000060.png,Some novel small gray metal cubes are in front of some large brown rubber spheres,1,"[0.4622872471809387, 0.25543951988220215, 0.2822732627391815]",contextual cancellation
21,CLEVR_000021.jsonl,CLEVR_000063.png,CLEVR_000063.png,Some novel large gray spheres are in front of some large gray cylinders,1,"[0.9872605800628662, 0.009046358056366444, 0.003693047910928726]",contextual cancellation
22,CLEVR_000022.jsonl,CLEVR_000066.png,CLEVR_000066.png,Some novel large metal cubes are behind some small rubber cylinders,1,"[0.8149826526641846, 0.08226677030324936, 0.10275063663721085]",contextual cancellation
23,CLEVR_000023.jsonl,CLEVR_000069.png,CLEVR_000069.png,Some novel large purple metal spheres are in front of some small gray metal cubes,1,"[0.8979207277297974, 0.09762181341648102, 0.004457446280866861]",contextual cancellation
24,CLEVR_000024.jsonl,CLEVR_000072.png,CLEVR_000072.png,Some novel large purple metal cylinders are on the right of some small gray metal spheres,1,"[0.9661209583282471, 1.0493979971215595e-05, 0.03386850655078888]",contextual cancellation
25,CLEVR_000025.jsonl,CLEVR_000075.png,CLEVR_000075.png,Some novel large purple metal spheres are in front of some small gray metal cubes,1,"[0.9987691044807434, 2.8894704882986844e-05, 0.0012019251007586718]",contextual cancellation
26,CLEVR_000026.jsonl,CLEVR_000079.png,CLEVR_000078.png,Some novel large metal cubes are in front of some small rubber cylinders,0,"[0.18214765191078186, 0.6407172083854675, 0.177135169506073]",contextual cancellation
27,CLEVR_000027.jsonl,CLEVR_000081.png,CLEVR_000081.png,Some novel small cyan metal cubes are on the right of some large green metal cylinders,1,"[0.9910423755645752, 0.0001667050237301737, 0.008790930733084679]",contextual cancellation
28,CLEVR_000028.jsonl,CLEVR_000084.png,CLEVR_000084.png,Some novel metal cubes are on the left of some metal cylinders,1,"[0.9953225255012512, 0.0009555090800859034, 0.0037219699006527662]",contextual cancellation
29,CLEVR_000029.jsonl,CLEVR_000087.png,CLEVR_000087.png,Some novel metal cylinders are in front of some metal cubes,1,"[0.8125073909759521, 0.0074799093417823315, 0.1800127625465393]",contextual cancellation
30,CLEVR_000030.jsonl,CLEVR_000090.png,CLEVR_000090.png,Some novel large gray spheres are on the left of some large gray cylinders,1,"[0.5529934763908386, 0.03059900552034378, 0.4164074957370758]",contextual cancellation
31,CLEVR_000031.jsonl,CLEVR_000095.png,CLEVR_000093.png,Some novel small purple metal cubes are on the right of some small yellow metal spheres,0,"[0.25214454531669617, 0.0078039513900876045, 0.7400515675544739]",contextual cancellation
32,CLEVR_000032.jsonl,CLEVR_000096.png,CLEVR_000096.png,Some novel small cyan metal cubes are in front of some large green metal cylinders,1,"[0.8567999601364136, 0.13673922419548035, 0.0064608012326061726]",contextual cancellation
33,CLEVR_000033.jsonl,CLEVR_000100.png,CLEVR_000099.png,Some novel small brown spheres are on the right of some large purple cylinders,0,"[0.05934692546725273, 0.6571816205978394, 0.2834714651107788]",contextual cancellation
34,CLEVR_000034.jsonl,CLEVR_000102.png,CLEVR_000102.png,Some novel large purple metal spheres are on the right of some small gray metal cubes,1,"[0.999660849571228, 0.00024870914057828486, 9.0446112153586e-05]",contextual cancellation
35,CLEVR_000035.jsonl,CLEVR_000105.png,CLEVR_000105.png,Some novel metal cylinders are on the right of some rubber cubes,1,"[0.8335199952125549, 0.15663588047027588, 0.009844155982136726]",contextual cancellation
36,CLEVR_000036.jsonl,CLEVR_000108.png,CLEVR_000108.png,Some novel large gray spheres are behind some large gray cylinders,1,"[0.980545163154602, 0.011827575042843819, 0.007627300452440977]",contextual cancellation
37,CLEVR_000037.jsonl,CLEVR_000111.png,CLEVR_000111.png,Some novel small purple metal cubes are on the left of some small yellow metal spheres,1,"[0.9226213693618774, 0.039958417415618896, 0.03742022439837456]",contextual cancellation
38,CLEVR_000038.jsonl,CLEVR_000114.png,CLEVR_000114.png,Some novel yellow rubber cylinders are on the left of some green metal spheres,1,"[0.4934627413749695, 0.04468933865427971, 0.4618479013442993]",contextual cancellation
39,CLEVR_000039.jsonl,CLEVR_000117.png,CLEVR_000117.png,Some novel large brown rubber spheres are on the right of some small cyan metal cylinders,1,"[0.986185610294342, 0.0036011727061122656, 0.010213255882263184]",contextual cancellation
