,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
0,000.jsonl,001.png,000.png,Some hairs are blonde,0,"[0.13997367024421692, 0.7354007363319397, 0.12462558597326279]",direct implicature
1,001.jsonl,004.png,003.png,Some lines are blue,0,"[0.0533716045320034, 0.7803640961647034, 0.16626432538032532]",direct implicature
2,002.jsonl,008.png,006.png,Some vehicles are white,0,"[0.09220737963914871, 0.06891144812107086, 0.8388810753822327]",direct implicature
3,003.jsonl,009.png,009.png,Some cars are white,1,"[0.8713104128837585, 0.013082912191748619, 0.1156066432595253]",direct implicature
4,004.jsonl,013.png,012.png,Some vans are white,0,"[0.21318867802619934, 0.7662867903709412, 0.02052454464137554]",direct implicature
5,005.jsonl,016.png,015.png,Some stands are orange,0,"[0.013999400660395622, 0.9835429191589355, 0.0024576473515480757]",direct implicature
6,006.jsonl,018.png,018.png,Some trees are green,1,"[0.8713823556900024, 0.1170734390616417, 0.011544249020516872]",direct implicature
7,007.jsonl,023.png,021.png,Some cars are red,0,"[0.20527826249599457, 0.015687357634305954, 0.7790343165397644]",direct implicature
8,008.jsonl,025.png,024.png,Some hoses are green,0,"[0.0010659415274858475, 0.9955345392227173, 0.0033994975965470076]",direct implicature
9,009.jsonl,027.png,027.png,Some buildings are tan,1,"[0.9150651097297668, 0.08362118899822235, 0.0013136679772287607]",direct implicature
10,010.jsonl,030.png,030.png,Some cars are black,1,"[0.5283035039901733, 0.4715465307235718, 0.00014993349032010883]",direct implicature
11,011.jsonl,033.png,033.png,Some vegetations are green,1,"[0.462789922952652, 0.28381553292274475, 0.25339457392692566]",direct implicature
12,012.jsonl,038.png,036.png,Some cars are red,0,"[0.11206675320863724, 0.037297964096069336, 0.850635290145874]",direct implicature
13,013.jsonl,039.png,039.png,Some vehicles are white,1,"[0.8976529240608215, 0.10190688073635101, 0.00044009205885231495]",direct implicature
14,014.jsonl,042.png,042.png,Some signs are blue,1,"[0.9849191904067993, 0.00024400564143434167, 0.014836830087006092]",direct implicature
15,015.jsonl,045.png,045.png,Some pants are white,1,"[0.7115678191184998, 0.16218377649784088, 0.12624838948249817]",direct implicature
16,016.jsonl,048.png,048.png,Some buildings are red,1,"[0.9984332919120789, 0.001425398513674736, 0.00014130839554127306]",direct implicature
17,017.jsonl,052.png,051.png,Some signs are green,0,"[0.2018926739692688, 0.7925061583518982, 0.005601133219897747]",direct implicature
18,018.jsonl,055.png,054.png,Some lines are white,0,"[0.018871916458010674, 0.9700007438659668, 0.011127308011054993]",direct implicature
19,019.jsonl,058.png,057.png,Some shirts are green,0,"[0.013230699114501476, 0.8496525883674622, 0.13711677491664886]",direct implicature
20,020.jsonl,060.png,060.png,Some walls are orange,1,"[0.5732856392860413, 0.40892964601516724, 0.01778470352292061]",contextual cancellation
21,021.jsonl,064.png,063.png,Some shirts are white,0,"[0.03027796559035778, 0.7925272583961487, 0.17719480395317078]",contextual cancellation
22,022.jsonl,066.png,066.png,Some phones are white,1,"[0.9942435622215271, 0.0005991802318021655, 0.0051573496311903]",contextual cancellation
23,023.jsonl,069.png,069.png,Some buildings are orange,1,"[0.9997897744178772, 3.188582195434719e-05, 0.00017828533600550145]",contextual cancellation
24,024.jsonl,072.png,072.png,Some pillows are white,1,"[0.8362390398979187, 0.04477676749229431, 0.11898423731327057]",contextual cancellation
25,025.jsonl,077.png,075.png,Some tables are brown,0,"[0.4777664840221405, 0.003181063337251544, 0.5190525054931641]",contextual cancellation
26,026.jsonl,078.png,078.png,Some bush is green,1,"[0.9938527345657349, 0.0005578919663093984, 0.0055893659591674805]",contextual cancellation
27,027.jsonl,081.png,081.png,Some dogs are brown,1,"[0.9408402442932129, 0.019328994676470757, 0.03983067348599434]",contextual cancellation
28,028.jsonl,084.png,084.png,Some cars are white,1,"[0.9805411696434021, 0.00154810247477144, 0.017910730093717575]",contextual cancellation
29,029.jsonl,087.png,087.png,Some tires are black,1,"[0.9613442420959473, 0.01054256409406662, 0.02811315283179283]",contextual cancellation
30,030.jsonl,091.png,090.png,Some lines are red,0,"[0.386310875415802, 0.49454793334007263, 0.11914116144180298]",contextual cancellation
31,031.jsonl,093.png,093.png,Some vehicles are white,1,"[0.9970922470092773, 0.0012695502955466509, 0.0016381936147809029]",contextual cancellation
32,032.jsonl,096.png,096.png,Some plates are round,1,"[0.8240096569061279, 0.08867044001817703, 0.08731996268033981]",contextual cancellation
33,033.jsonl,099.png,099.png,Some streets are paved,1,"[0.8921875357627869, 0.029546024277806282, 0.0782664343714714]",contextual cancellation
34,034.jsonl,103.png,102.png,Some clouds are grey,0,"[0.05039193853735924, 0.8671466708183289, 0.08246134221553802]",contextual cancellation
35,035.jsonl,105.png,105.png,Some trees are brown,1,"[0.9979134202003479, 3.854772512568161e-05, 0.002048025606200099]",contextual cancellation
36,036.jsonl,108.png,108.png,Some tails are red and blue,1,"[0.9893717765808105, 0.002001592656597495, 0.008626704104244709]",contextual cancellation
37,037.jsonl,113.png,111.png,Some signs are white,0,"[0.027285965159535408, 0.15140600502490997, 0.8213080763816833]",contextual cancellation
38,038.jsonl,114.png,114.png,Some cars are red,1,"[0.9410898685455322, 0.04237948730587959, 0.016530541703104973]",contextual cancellation
39,039.jsonl,117.png,117.png,Some doors are open,1,"[0.8430148959159851, 0.15505528450012207, 0.0019297620747238398]",contextual cancellation
