,json_name,pred_answer,referent,utterance,pred_correct_flag,pred_probs,implicature_type
0,CLEVR_000000.jsonl,CLEVR_000001.png,CLEVR_000000.png,Some large metal cubes are behind the small rubber cylinders,0,"[0.03431454300880432, 0.9564794898033142, 0.009205998852849007]",direct implicature
1,CLEVR_000001.jsonl,CLEVR_000003.png,CLEVR_000003.png,Some large purple metal spheres are in front of the small gray metal cubes,1,"[0.673802375793457, 0.32586807012557983, 0.00032959625241346657]",direct implicature
2,CLEVR_000002.jsonl,CLEVR_000006.png,CLEVR_000006.png,Some large purple metal cylinders are on the left of the small gray metal spheres,1,"[0.8216238021850586, 0.17200766503810883, 0.006368536967784166]",direct implicature
3,CLEVR_000003.jsonl,CLEVR_000009.png,CLEVR_000009.png,Some small cyan metal cubes are on the right of the large green metal cylinders,1,"[0.9883350133895874, 0.0008456954383291304, 0.010819255374372005]",direct implicature
4,CLEVR_000004.jsonl,CLEVR_000013.png,CLEVR_000012.png,Some large blue metal cubes are in front of the large brown metal cylinders,0,"[0.38199231028556824, 0.612162709236145, 0.0058449916541576385]",direct implicature
5,CLEVR_000005.jsonl,CLEVR_000015.png,CLEVR_000015.png,Some small gray metal cubes are behind the large brown rubber spheres,1,"[0.922943115234375, 0.07455337792634964, 0.0025034763384610415]",direct implicature
6,CLEVR_000006.jsonl,CLEVR_000018.png,CLEVR_000018.png,Some large metal cubes are on the right of the small rubber cylinders,1,"[0.42481863498687744, 0.33078283071517944, 0.24439853429794312]",direct implicature
7,CLEVR_000007.jsonl,CLEVR_000022.png,CLEVR_000021.png,Some small yellow metal cubes are on the left of the large gray rubber cylinders,0,"[0.050289276987314224, 0.8819534778594971, 0.067757248878479]",direct implicature
8,CLEVR_000008.jsonl,CLEVR_000024.png,CLEVR_000024.png,Some metal cubes are on the left of the metal cylinders,1,"[0.7160999178886414, 0.27578848600387573, 0.00811151135712862]",direct implicature
9,CLEVR_000009.jsonl,CLEVR_000028.png,CLEVR_000027.png,Some small brown spheres are behind the large purple cylinders,0,"[0.03409527987241745, 0.965398371219635, 0.0005064117140136659]",direct implicature
